step,execution_bon_16x16_acc,execution_bon_16x16_accumulate_acc,execution_bon_4x4_acc,execution_bon_4x4_accumulate_acc,execution_case_acc,execution_case_accumulate_acc,execution_code_acc,execution_code_accumulate_acc,execution_p_00,execution_p_01_as_logged,recorded_at,reward_case_reward_mean,reward_case_reward_num_groups,reward_case_reward_num_samples,reward_case_reward_std,reward_code_reward_mean,reward_code_reward_num_groups,reward_code_reward_num_samples,reward_code_reward_std,reward_problems_skipped,reward_problems_total,reward_problems_used,reward_reward_mode,reward_rollout_debug_meta_enabled,reward_rollout_debug_meta_max_problems_per_step,reward_rollout_debug_meta_slots_remaining_after_step,reward_rollout_debug_meta_truncate_chars,sampling_mean_case_response_tokens,sampling_mean_code_response_tokens
30,0.29,0.38375,0.28,0.35,0.31527777777777777,0.4090646651270208,0.270625,0.33671875,0.04699093157460841,0.2759706190975866,2026-04-03T09:23:37,0.1683,8,720,0.5377,0.3367,9,1600,0.4379,0,100,100,gt_based,0,,0,,672.954375,628.915
31,0.2,0.32997481108312343,0.21,0.28967254408060455,0.28125,0.36462177121771217,0.169375,0.2602329974811083,0.0634727626459144,0.30859375,2026-04-03T09:32:20,0.1798,8,608,0.4491,0.2583,7,1600,0.3831,0,100,100,gt_based,0,,0,,727.146875,650.155
32,0.34,0.445,0.31,0.42375,0.4055232558139535,0.475,0.26875,0.359296875,0.06998607242339833,0.3232484076433121,2026-04-03T09:40:36,0.2629,10,688,0.5584,0.3593,5,1600,0.4355,0,100,100,gt_based,0,,0,,654.48375,615.118125
33,0.28,0.4025,0.21,0.2925,0.3178191489361702,0.4191937869822485,0.21125,0.273984375,0.057846153846153846,0.28873642081189255,2026-04-03T09:49:30,0.1958,9,752,0.456,0.274,11,1600,0.4122,0,100,100,gt_based,0,,0,,700.99375,630.365625
34,0.38,0.4725,0.33,0.4,0.3359375,0.4032451923076923,0.26,0.327578125,0.05538847117794486,0.21741778319123017,2026-04-03T09:58:05,0.1744,11,768,0.5407,0.3276,7,1600,0.4346,0,100,100,gt_based,0,,0,,693.088125,611.51
35,0.29,0.355,0.29,0.3375,0.3958333333333333,0.44690111420612816,0.224375,0.27953125,0.06411945542380325,0.17740585774058582,2026-04-03T10:06:46,0.2915,5,576,0.5407,0.2795,14,1600,0.4169,0,100,100,gt_based,0,,0,,674.230625,641.8225
36,0.22,0.33668341708542715,0.17,0.26256281407035176,0.2727272727272727,0.3291382252559727,0.183125,0.26421168341708545,0.03195425496131853,0.1944091486658196,2026-04-03T10:15:42,0.1704,10,528,0.5057,0.2679,10,1600,0.4018,0,100,100,gt_based,0,,0,,711.18,623.98
37,0.32,0.435,0.33,0.4175,0.335,0.44096385542168676,0.259375,0.344921875,0.07928555870180788,0.30337794773741233,2026-04-03T10:24:38,0.1843,10,800,0.5303,0.3449,6,1600,0.4375,0,100,100,gt_based,0,,0,,627.2175,620.03875
38,0.28,0.39125,0.23,0.33375,0.2755681818181818,0.33226495726495725,0.219375,0.3109375,0.05067808708065667,0.2719723183391003,2026-04-03T10:33:39,0.117,11,704,0.5147,0.3109,7,1600,0.4165,0,100,100,gt_based,0,,0,,699.00125,639.725625
39,0.27,0.38625,0.26,0.385,0.3458333333333333,0.37242879746835444,0.1975,0.30765625,0.08018867924528301,0.325089928057554,2026-04-03T10:42:26,0.1748,14,720,0.4693,0.3077,10,1600,0.4091,0,100,100,gt_based,0,,0,,675.959375,616.6575
