step,execution_bon_16x16_acc,execution_bon_16x16_accumulate_acc,execution_bon_4x4_acc,execution_bon_4x4_accumulate_acc,execution_case_acc,execution_case_accumulate_acc,execution_code_acc,execution_code_accumulate_acc,execution_p_00,execution_p_01_as_logged,recorded_at,reward_case_reward_mean,reward_case_reward_num_groups,reward_case_reward_num_samples,reward_case_reward_std,reward_code_reward_mean,reward_code_reward_num_groups,reward_code_reward_num_samples,reward_code_reward_std,reward_gt_correlation_mean_spearman,reward_gt_correlation_n,reward_problems_skipped,reward_problems_total,reward_problems_used,reward_reward_mode,reward_rollout_debug_meta_enabled,reward_rollout_debug_meta_max_problems_per_step,reward_rollout_debug_meta_slots_remaining_after_step,reward_rollout_debug_meta_truncate_chars,sampling_mean_case_response_tokens,sampling_mean_code_response_tokens
48,0.21,0.2851758793969849,0.21,0.28015075376884424,0.0013020833333333333,0.00033875338753387534,0.230625,0.29954459798994976,0.00141287284144427,0.0714285714285714,2026-04-03T12:55:42,-0.0674,9,144,0.247,0.8611,9,144,0.3458,-0.3488,5.0,91,100,9,self_bootstrap,0,,0,,731.720625,606.056875
49,0.19,0.27,0.19,0.2675,0.0015625,0.0032258064516129032,0.19375,0.271328125,0.0007575757575757576,1.0,2026-04-03T13:04:19,-0.082,5,80,0.266,0.8913,5,80,0.2909,0.4633,4.0,95,100,5,self_bootstrap,0,,0,,735.80125,617.60875
50,0.28,0.34711779448621555,0.28,0.34711779448621555,0.003472222222222222,0.002858627858627859,0.300625,0.36387844611528825,0.0,0.46153846153846156,2026-04-03T13:35:45,-0.0174,4,64,0.2681,0.8438,4,64,0.3631,0.046,3.0,96,100,4,self_bootstrap,0,,0,,747.4075,607.041875
51,0.17,0.23875,0.16,0.23625,0.001893939393939394,0.0012550200803212851,0.155625,0.236015625,0.003143947900291938,0.0,2026-04-03T13:44:23,0.0003,2,32,0.239,0.7812,2,32,0.4134,-0.4984,2.0,98,100,2,self_bootstrap,0,,0,,775.9225,657.92875
52,0.24,0.33458646616541354,0.24,0.32706766917293234,0.004934210526315789,0.00541907514450867,0.21625,0.3068609022556391,0.0,0.4444444444444444,2026-04-03T13:52:40,-0.0369,7,112,0.2927,0.7857,7,112,0.4103,0.2984,4.0,93,100,7,self_bootstrap,0,,0,,797.470625,649.041875
53,0.17,0.295,0.17,0.295,0.0035714285714285713,0.0020408163265306124,0.153125,0.26390625,0.0,0.6666666666666667,2026-04-03T14:01:20,0.0074,5,80,0.3052,0.7975,5,80,0.3788,0.2484,4.0,95,100,5,self_bootstrap,0,,0,,827.2925,657.038125
54,0.14,0.19125,0.14,0.19,0.0,0.0,0.134375,0.1925,0.0,1.0,2026-04-03T14:10:24,-0.0781,4,64,0.2684,0.875,4,64,0.3307,-0.2683,3.0,96,100,4,self_bootstrap,0,,0,,933.25125,689.131875
55,0.2,0.3075,0.2,0.3075,0.0014534883720930232,0.0013345195729537367,0.175625,0.263125,0.0,0.0,2026-04-03T14:19:06,-0.0623,5,80,0.2412,0.875,5,80,0.3307,-0.1813,4.0,95,100,5,self_bootstrap,0,,0,,796.55375,657.575
56,0.19,0.2697616060225847,0.2,0.2797992471769134,0.0016891891891891893,0.0026993355481727574,0.188125,0.2547051442910916,0.0002149151085321298,0.0,2026-04-03T14:27:41,-0.0578,7,112,0.2627,0.8571,7,112,0.3499,-0.0046,5.0,93,100,7,self_bootstrap,0,,0,,797.65625,659.751875
57,0.3,0.3659147869674185,0.3,0.36466165413533835,0.0013020833333333333,0.002386634844868735,0.261875,0.3296522556390977,0.0005372492836676218,1.0,2026-04-03T14:36:18,-0.0889,4,64,0.2771,0.9375,4,64,0.2421,-0.2698,3.0,96,100,4,self_bootstrap,0,,0,,732.6925,649.7775
58,0.23,0.29375,0.23,0.28625,0.0,0.0,0.216875,0.290390625,0.0,1.0,2026-04-03T14:44:36,-0.0596,1,16,0.2309,0.6875,1,16,0.4635,-0.576,1.0,99,100,1,self_bootstrap,0,,0,,697.01875,664.98125
59,0.26,0.3278894472361809,0.25,0.3203517587939699,0.00125,0.00046182266009852215,0.25375,0.3235709798994975,0.0,0.0,2026-04-03T14:52:11,-0.0625,3,48,0.2421,0.8958,3,48,0.3055,-0.3779,2.0,97,100,3,self_bootstrap,0,,0,,670.779375,623.76125
60,0.26,0.3725,0.25,0.3625,0.0025,0.001388888888888889,0.253125,0.343984375,0.0004764173415912339,0.0,2026-04-03T15:00:38,-0.0619,3,48,0.2396,0.75,3,48,0.433,-0.6063,3.0,97,100,3,self_bootstrap,0,,0,,713.2525,622.338125
61,0.22,0.29873417721518986,0.22,0.3,0.0,0.0,0.214375,0.2897151898734177,0.0,1.0,2026-04-03T15:08:45,-0.0547,1,16,0.212,0.9375,1,16,0.2421,0.1475,1.0,99,100,1,self_bootstrap,0,,0,,672.644375,624.549375
62,0.21,0.28,0.21,0.28,0.0,0.0,0.189375,0.2715625,0.0,1.0,2026-04-03T15:17:02,0.0,2,32,0.25,0.7188,2,32,0.4496,,,98,100,2,self_bootstrap,0,,0,,770.6825,656.60875
63,0.25,0.33125,0.25,0.33,0.001524390243902439,0.0029498525073746312,0.211875,0.303125,0.0,1.0,2026-04-03T15:25:13,-0.0625,1,16,0.2421,0.875,1,16,0.3307,-0.5955,1.0,99,100,1,self_bootstrap,0,,0,,712.013125,653.788125
64,0.14,0.18125,0.14,0.18125,0.0,0.0,0.17375,0.258984375,0.00019904458598726116,1.0,2026-04-03T15:33:34,-0.0509,1,16,0.1971,0.9375,1,16,0.2421,0.2202,1.0,99,100,1,self_bootstrap,0,,0,,774.6825,663.819375
65,0.21,0.2719298245614035,0.21,0.2769423558897243,0.001644736842105263,0.0015404929577464788,0.1775,0.24929511278195488,0.0005802707930367504,0.4285714285714286,2026-04-03T15:41:37,-0.0966,5,80,0.2902,0.7625,5,80,0.4256,-0.1576,4.0,95,100,5,self_bootstrap,0,,0,,764.95375,651.3275
66,0.22,0.3161209068010076,0.22,0.3161209068010076,0.0015625,0.00233843537414966,0.18375,0.2618860201511335,0.0005423973964924968,0.19999999999999996,2026-04-03T15:49:56,-0.0394,6,96,0.2383,0.8229,6,96,0.3817,0.3974,3.0,94,100,6,self_bootstrap,0,,0,,669.64,655.51125
67,0.2,0.345,0.2,0.345,0.0,0.0,0.204375,0.31015625,0.00015903307888040714,1.0,2026-04-03T15:58:17,-0.1818,2,32,0.3795,0.9375,2,32,0.2421,0.1741,1.0,98,100,2,self_bootstrap,0,,0,,659.956875,639.398125
68,0.19,0.25,0.18,0.24,0.0016891891891891893,0.002938871473354232,0.199375,0.275390625,0.0,0.0,2026-04-03T16:06:29,0.0,2,32,0.25,0.8438,2,32,0.3631,1.0,1.0,98,100,2,self_bootstrap,0,,0,,631.648125,600.90875
69,0.21,0.28,0.21,0.28,0.0,0.0,0.19,0.26734375,0.00014467592592592592,1.0,2026-04-03T16:14:48,-0.0625,2,32,0.2421,0.9375,2,32,0.2421,0.2,1.0,98,100,2,self_bootstrap,0,,0,,696.20125,636.993125
